PDF_Name,Category,Jurisdiction,Subcategory,PDF_Link
the_right_of_children_to_free_and_compulsory_education_act_2009.pdf,Central,Union,Social Welfare,https://www.indiacode.nic.in/bitstream/123456789/19014/1/the_right_of_children_to_free_and_compulsory_education_act_2009.pdf
201320.pdf,Central,Union,Social Welfare,https://www.indiacode.nic.in/bitstream/123456789/2113/1/201320.pdf
"the_rights_of_persons_with_disabilities_act,_2016.pdf",Central,Union,Social Welfare,https://www.indiacode.nic.in/bitstream/123456789/15939/1/the_rights_of_persons_with_disabilities_act%2C_2016.pdf
"protection_of_women_from_domestic_violence_act,_2005.pdf",Central,Union,Social Welfare,https://www.indiacode.nic.in/bitstream/123456789/15436/1/protection_of_women_from_domestic_violence_act%2C_2005.pdf
dowry_prohibition.pdf,Central,Union,Social Welfare,https://www.indiacode.nic.in/bitstream/123456789/5556/1/dowry_prohibition.pdf
"muslim_women_(protection_of_rights_on_divorce)_act,_1986.pdf",Central,Union,Social Welfare,https://www.indiacode.nic.in/bitstream/123456789/15353/1/muslim_women_%28protection_of_rights_on_divorce%29_act%2C_1986.pdf
"the_indian_forest_act,_1927.pdf",Central,Union,Environment/Forest,https://www.indiacode.nic.in/bitstream/123456789/19313/1/the_indian_forest_act%2C_1927.pdf
a1948-011.pdf,Central,Union,Labour/Industrial,https://www.indiacode.nic.in/bitstream/123456789/20357/1/a1948-011.pdf
payment_of_bonus_act_1965.pdf,Central,Union,Labour/Industrial,https://www.indiacode.nic.in/bitstream/123456789/9148/1/payment_of_bonus_act_1965.pdf
"the_maternity_benefit_act,_1961.pdf",Central,Union,Labour/Industrial/Social Welfare,https://www.indiacode.nic.in/bitstream/123456789/20954/1/the_maternity_benefit_act%2C_1961.pdf
"the_employees_state_insurance_act,_1948_no._34_of_1948_date_19.04.1948.pdf",Central,Union,Labour/Social Security,https://www.indiacode.nic.in/bitstream/123456789/12829/1/the_employees_state_insurance_act%2C_1948_no._34_of_1948_date_19.04.1948.pdf
the_industrial_disputes_act.pdf,Central,Union,Labour/Industrial,https://www.indiacode.nic.in/bitstream/123456789/20352/1/the_industrial_disputes_act.pdf
A2013-18.pdf,Central,Union,Corporate/Commercial,https://www.indiacode.nic.in/bitstream/123456789/2114/5/A2013-18.pdf
"The Advocates Act, 1961",Central,Union,Legal Profession,https://www.indiacode.nic.in/bitstream/123456789/1631/1/A1961_25.pdf
"the_arbitration_and_conciliation_act,_1996.pdf",Central,Union,Civil/ADR,https://www.indiacode.nic.in/bitstream/123456789/11799/1/the_arbitration_and_conciliation_act%2C_1996.pdf
indian_partnership_act_1932.pdf,Central,Union,Corporate/Commercial,https://www.indiacode.nic.in/bitstream/123456789/19863/1/indian_partnership_act_1932.pdf
a1961-43.pdf,Central,Union,Taxation,https://www.indiacode.nic.in/bitstream/123456789/2435/1/a1961-43.pdf
